Author,Number of Articles Published
"Azmat, Ghazala",1
"Guell, Maia",1
"Manning, Alan",4
"Pan, Jessica",2
"Sattinger, Michael",1
"McLaughlin, Kenneth J.",3
"Avery, Christopher",1
"Cunat, Vicente",1
"Guadalupe, Maria",2
"Turner, Sarah",1
"Acemoglu, Daron",2
"Keeley, Michael C.",1
"Robins, Philip K.",2
"Rosen, Sherwin",7
"McElroy, Marjorie B.",2
"Oswald, Andrew J.",3
"Proto, Eugenio",1
"Sgroi, Daniel",1
"Polsky, Daniel",2
"Hansen, Daniel",1
"Kahn, Matthew E.",1
"Hwang, Hae-shin",1
"Mortensen, Dale T.",3
"Reed, W. Robert",1
"Berman, Eli",1
"Connolly, Marie",1
"Paglin, Morton",1
"Rufolo, Anthony M.",1
"Chen, Yu-Fu",1
"Zoega, Gylfi",1
"Fuchs, Victor R.",1
"Bettinger, Eric",1
"Haegeland, Torbjorn",1
"Rege, Mari",1
"Edwards, Linda N.",1
"Field-Hendrey, Elizabeth",1
"Chowdhury, Gopa",1
"Nickell, Stephen",1
"Earle, John S.",2
"Nelson, Julie A.",1
"Zhao, Lingxiao",1
"Burge, Gregory",1
"Burdett, Kenneth",2
"Ondrich, Jan I.",1
"Zafar, Basit",1
"Saint-Paul, Gilles",1
"Dustmann, Christian",1
"Glitz, Albrecht",2
"Milligan, Kevin",1
"Gathmann, Christina",1
"Sabirianova, Klara Z.",1
"van Ours, Jan C.",3
"Vodopivec, Milan",1
"Ni, Shawn",1
"Fiorini, Mario",1
"Spurr, Stephen J.",1
"Cooley Fruehwirth, Jane",1
"Navarro, Salvador",1
"Takahashi, Yuya",1
"Berger, Mark C.",2
"Brown, Eleanor",1
"Kaufold, Howard",1
"Becker, Gary S.",4
"Tomes, Nigel",2
"Chang, Chun",1
"Wang, Yijiang",2
"Eriksson, Goran",1
"Poletaev, Maxim",1
"Kuziemko, Ilyana",1
"Bollinger, Christopher R.",4
"Chandra, Amitabh",2
"Lin, Xu",1
"Skuterud, Mikal",1
"DeSimone, Jeff",1
"Ganguli, Ina",1
"Bronars, Stephen G.",2
"Shiells, Clinton R.",1
"Lowell, B. Lindsay",1
"Gotlibovski, Menachem",1
"Samuelson, Larry",2
"Berkovitch, Elazar",1
"Autor, David",1
"Dorn, David",1
"Price, Brendan",1
"Bester, Helmut",1
"Drago, Robert",1
"Garvey, Gerald T.",2
"Sonnemans, Joep",1
"van der Klaauw, Bas",2
"Carroll, Robert",1
"Cecchetti, Stephen G.",1
"Bloemen, Hans G.",2
"Stancanelli, Elena G. F.",1
"Diamond, Charles A.",1
"Simon, Curtis J.",2
"Alvi, Eskander",1
"Garicano, Luis",1
"Heaton, Paul",1
"Leonesio, Michael V.",1
"Huffman, David",1
"Macleod, W. Bentley",1
"Sarvimaki, Matti",1
"Hamalainen, Kari",1
"Shin, Kwanho",1
"Carrington, William J.",4
"Vosters, Kelly",1
"Nybom, Martin",1
"Rosenzweig, Mark R.",1
"Goltsman, Maria",1
"Mukherjee, Arijit",1
"Bils, Mark",1
"Zaman, Asad",1
"Meng, Xin",1
"Gregory, Robert G.",1
"Duncan, Brian",1
"Trejo, Stephen J.",2
"Wulf, Julie",1
"Morita, Hodaka",1
"Brown, James N.",2
"Camargo, Braz",2
"Adams, James D.",1
"Ermisch, John",1
"Johnson, William R.",1
"Mas, Alexandre",1
"Kerr, William R.",3
"Turner, Sarah E.",1
"Fallick, Bruce C.",1
"Hassett, Kevin A.",1
"Schwarz, Michael",1
"Severinov, Sergei",1
"Maloney, Tim",1
"Perez-Arce, Francisco",1
"Hartzell, Jay C.",1
"Parsons, Christopher A.",1
"Yermack, David L.",1
"Figlio, David",1
"Rush, Mark",1
"Yin, Lu",1
"Jaeger, David A.",1
"Stevens, Ann Huff",4
"Boeri, Tito",1
"Moen, Jarle",1
"Harrison, Alan",1
"Stewart, Mark",1
"Boschini, Anne",1
"Sjogren, Anna",1
"Hansen, Michael",1
"Albrecht, James",1
"Bjorklund, Anders",1
"Vroman, Susan",1
"Staiger, Douglas O.",1
"Spetz, Joanne",1
"Phibbs, Ciaran S.",1
"Bryson, Alex",1
"Davis, James C.",1
"Freeman, Richard",1
"Ben-Porath, Yoram",2
"Gronau, Reuben",6
"Blundell, Richard",1
"Brewer, Mike",1
"Belzil, Christian",3
"Charles, Kerwin Kofi",1
"Stephens, Melvin, Jr.",2
"Addison, John T.",3
"Burgess, Simon",2
"Lane, Julia",2
"Stevens, David",1
"Chan, Sewin",1
"Bishop, John H.",1
"Cave, George",1
"Schmutte, Ian M.",1
"DellaVigna, Stefano",1
"Paserman, M. Daniele",1
"Lentz, Rasmus",2
"Tranaes, Torben",2
"Yamaguchi, Shintaro",2
"Vishwanath, Tara",1
"Marinescu, Ioana",1
"Diebold, Francis X.",1
"Royalty, Anne Beeson",1
"Levine, David I.",3
"Ito, Takatoshi",1
"Blau, David M.",5
"Ashenfelter, Orley C.",1
"Farber, Henry",1
"Santos-Pinto, Luis",1
"Harrison, Ann E.",2
"Leamer, Edward",1
"Katz, Eliakim",1
"Stark, Oded",2
"Zucker, Lynne G.",1
"Darby, Michael R.",1
"Torero, Maximo",1
"Saks, Raven E.",1
"Wozniak, Abigail",1
"Paxson, Christina H.",2
"Malcomson, James M.",1
"Gomme, Paul",1
"Bertola, Giuseppe",1
"Arnott, Richard J.",1
"Stiglitz, Joseph E.",1
"Tauman, Y.",1
"Weiss, Y.",1
"Eliason, Marcus",1
"Storrie, Donald",1
"Hosios, Arthur J.",2
"Weinberger, Catherine",1
"Kostiuk, Peter F.",1
"Follmann, Dean A.",1
"Gu, Wulong",1
"Pastorino, Elena",1
"Cheron, Arnaud",1
"Hairault, Jean-Olivier",1
"Langot, Francois",1
"Bohlmark, Anders",1
"Lindquist, Matthew J.",2
"Bonke, Timm",1
"Corneo, Giacomo",1
"Luthen, Holger",1
"Kervin, John",1
"Reid, Frank",1
"Chin, Aimee",1
"Schmidt, Stefanie R.",1
"Gamber, Edward N.",1
"Notowidigdo, Matthew J.",1
"Castleman, Benjamin L.",1
"Long, Bridget Terry",1
"Taylor, Beck A.",1
"Trogdon, Justin G.",1
"Audas, Rick",1
"Barmby, Tim",1
"Treble, John",1
"Hall, Robert E.",2
"Stanton, Christopher",1
"Orazem, Peter F.",1
"Mattila, J. Peter",1
"Giuliano, Laura",2
"Leonard, Jonathan",1
"Swan, Peter L.",1
"Holmes, Thomas J.",1
"Schmitz, James A., Jr.",1
"Jones, Stephen R. G.",2
"Lommerud, Kjell Erik",1
"Roth, Alvin E.",1
"Baker, Matthew J.",1
"Jacobsen, Joyce P.",1
"Schumacher, Edward J.",1
"Nalbantian, Haig R.",1
"Schotter, Andrew",1
"Bandiera, Oriana",1
"Guiso, Luigi",1
"Prat, Andrea",1
"Sadun, Raffaella",1
